                                                                 BALANCE DE SUMAS Y SALDOS
EMPRESA: MAKE-OPTIC, SL                                                                                     FECHA: 20/08/2026
Condición: Desde la SUBCUENTA 1000000000 a la 7999999999
           En el PERIODO del 01/01/2021 al 31/12/2021


Subcuenta      Nombre de la Subcuenta                             Saldo Inicial        Debe        Haber                Saldo
4300000522     VISUALTORRENT S.L                                    0,00         60,13        60,13                0,00
4300000525     ALTRU OPTICAS S.L                                    0,00          9,68         9,68                0,00
4300000528     OPTICA NAVARRO DE MONCADA                          136,00        948,31     1.084,31                0,00
4300000530     MELGOPTIC S.L                                        0,00         85,18        85,18                0,00
4300000531     MULTIOPTICAS TORRENTE                              392,17        597,02       989,19                0,00
4300000532     KURIO VISION SLU                                     0,00         12,21        12,21                0,00
4300000533     SALINAS OPTICOS S.L                                  9,56         45,08        54,64                0,00
4300000540     NEWCO RETAIL LEVANTE 12 2 A                          0,00         22,63        22,63                0,00

                                SUMA PARCIAL.......          -85.792,47     802.152,36   716.359,89                0,00


BALANCE DE SUMAS Y SALDOS                                                                                     Página 3
                                                                  BALANCE DE SUMAS Y SALDOS
EMPRESA: MAKE-OPTIC, SL                                                                                          FECHA: 20/08/2026
Condición: Desde la SUBCUENTA 1000000000 a la 7999999999
           En el PERIODO del 01/01/2021 al 31/12/2021


Subcuenta      Nombre de la Subcuenta                              Saldo Inicial          Debe          Haber                Saldo

                              SUMA ANTERIOR.......                  -85.792,47      802.152,36     716.359,89                 0,00

4300000542     OPTICA VISTALEA                                             0,00           74,77          74,77                0,00
4300000543     MURUZABAL JAIME SHEILA E IRENE                              0,00           41,38          41,38                0,00
4300000548     OPTICA BALLESTER                                           10,83            0,00          10,83                0,00
4300000550     OPTICA LLOBELL S.L                                      2.481,95       17.605,45      20.087,40                0,00
4300000551     MªJOSE MESEGUER MUÑOZ                                      35,09          281,38         316,47                0,00
4300000553     INSTITUTO OFTALMOLOGICO VALENC                            760,79       13.843,22      14.604,01                0,00
4300000555     EVA LOPEZ PARRILLA                                         22,00           24,24          46,24                0,00
4300000556     OVEJERO VISION SL                                           0,00          239,94         239,94                0,00
4300000557     OPTICA ARGENTE S.L                                          9,92          140,61         150,53                0,00
4300000558     JUAQUIN CARLOS BOTELLA DIAZ                                96,58        1.544,25       1.640,83                0,00
4300000562     EDUARDO HERNANDEZ MRTINEZ                                  27,35           23,35          50,70                0,00
4300000564     RIDEL VISION SL                                             0,00          145,20         145,20                0,00
4300000567     RIGEL VISION S.L                                            0,00          281,04         281,04                0,00
4300000568     OLEK VISION SLU                                             0,00          587,81         587,81                0,00
4300000571     MARCOS ARIAZA ZABALLOS                                      0,00           24,80          24,80                0,00
4300000994     CLIENTES WEB NOR                                            0,00          170,89         170,89                0,00
4300000995     CLIENTES WEB                                                0,00        3.252,32       3.252,32                0,00
4300000996     CLENTES KEONS                                          15.573,10      250.057,71     265.630,81                0,00
4300000997     CLIENTES KEONS                                          1.067,20       10.163,45      11.230,65                0,00
4300000999     CLIENTES VARIOS OPTICA 44 21                                0,00        1.149,66       1.149,66                0,00
4300009999     NEWCO RETAIL LEVANTE 1,S.L.U.                               0,00          656,86         656,86                0,00
4650           REMUNERACIONES PENDIENTES DE PAGO                      -7.924,94      115.852,03     107.927,09                0,00
4650000000     REMUNERACIONES PENDIENTES DE PAGO                      -7.924,94      115.852,03     107.927,09                0,00
4700           HACIENDA PÚBLICA, DEUDORA POR IVA                       4.432,07        2.577,75       7.009,82                0,00
4700000000     HACIENDA PÚBLICA, DEUDORA POR IVA                           0,00        2.577,75       2.577,75                0,00
4700000099     HACIENDA PÚBLICA, IVA A DEVOLVER                        4.432,07            0,00       4.432,07                0,00
4720           HACIENDA PÚBLICA, IVA SOPORTADO                             0,00       39.206,36      39.206,36                0,00
4720000004     IVA SOPORTADO 4%                                            0,00            2,44           2,44                0,00
4720000010     IVA SOPORTADO 10%                                           0,00       14.644,67      14.644,67                0,00
